atc_index,atc_code
1,A
2,A01
3,A01A
4,A01AA
5,A01AA01
6,A01AA02
7,A01AA03
8,A01AA04
9,A01AA30
10,A01AA51
11,A01AB
12,A01AB02
13,A01AB03
14,A01AB04
15,A01AB05
16,A01AB06
17,A01AB07
18,A01AB08
19,A01AB09
20,A01AB10
21,A01AB11
22,A01AB12
23,A01AB13
24,A01AB14
25,A01AB15
26,A01AB16
27,A01AB17
28,A01AB18
29,A01AB19
30,A01AB21
31,A01AB22
32,A01AB23
33,A01AC
34,A01AC01
35,A01AC02
36,A01AC03
37,A01AC54
38,A01AD
39,A01AD01
40,A01AD02
41,A01AD05
42,A01AD06
43,A01AD07
44,A01AD08
45,A01AD11
46,A02
47,A02A
48,A02AA
49,A02AA01
50,A02AA02
51,A02AA03
52,A02AA04
53,A02AA05
54,A02AA10
55,A02AB
56,A02AB01
57,A02AB02
58,A02AB03
59,A02AB04
60,A02AB05
61,A02AB06
62,A02AB07
63,A02AB10
64,A02AC
65,A02AC01
66,A02AC02
67,A02AC10
68,A02AD
69,A02AD01
70,A02AD02
71,A02AD03
72,A02AD04
73,A02AD05
74,A02AF
75,A02AF01
76,A02AF02
77,A02AG
78,A02AH
79,A02AX
80,A02B
81,A02BA
82,A02BA01
83,A02BA01
84,A02BA02
85,A02BA02
86,A02BA03
87,A02BA03
88,A02BA04
89,A02BA04
90,A02BA05
91,A02BA06
92,A02BA07
93,A02BA08
94,A02BA51
95,A02BA53
96,A02BB
97,A02BB01
98,A02BB02
99,A02BC
100,A02BC01
101,A02BC01
102,A02BC02
103,A02BC02
104,A02BC03
105,A02BC04
106,A02BC05
107,A02BC05
108,A02BC06
109,A02BC07
110,A02BC08
111,A02BC53
112,A02BC54
113,A02BD
114,A02BD01
115,A02BD02
116,A02BD03
117,A02BD04
118,A02BD05
119,A02BD06
120,A02BD07
121,A02BD08
122,A02BD09
123,A02BD10
124,A02BD11
125,A02BD12
126,A02BD13
127,A02BD14
128,A02BD15
129,A02BX
130,A02BX01
131,A02BX02
132,A02BX03
133,A02BX03
134,A02BX04
135,A02BX05
136,A02BX06
137,A02BX07
138,A02BX08
139,A02BX09
140,A02BX10
141,A02BX11
142,A02BX12
143,A02BX13
144,A02BX14
145,A02BX51
146,A02BX71
147,A02BX77
148,A02X
149,A03
150,A03A
151,A03AA
152,A03AA01
153,A03AA03
154,A03AA03
155,A03AA04
156,A03AA05
157,A03AA06
158,A03AA07
159,A03AA07
160,A03AA08
161,A03AA09
162,A03AA30
163,A03AB
164,A03AB01
165,A03AB02
166,A03AB02
167,A03AB02
168,A03AB03
169,A03AB04
170,A03AB05
171,A03AB05
172,A03AB06
173,A03AB07
174,A03AB08
175,A03AB09
176,A03AB10
177,A03AB11
178,A03AB12
179,A03AB13
180,A03AB14
181,A03AB15
182,A03AB16
183,A03AB17
184,A03AB18
185,A03AB19
186,A03AB21
187,A03AB53
188,A03AC
189,A03AC02
190,A03AC04
191,A03AC05
192,A03AD
193,A03AD01
194,A03AD01
195,A03AD02
196,A03AD02
197,A03AD30
198,A03AE
199,A03AE01
200,A03AE03
201,A03AX
202,A03AX01
203,A03AX02
204,A03AX03
205,A03AX04
206,A03AX05
207,A03AX06
208,A03AX07
209,A03AX08
210,A03AX09
211,A03AX10
212,A03AX11
213,A03AX12
214,A03AX13
215,A03AX14
216,A03AX15
217,A03AX30
218,A03AX30
219,A03AX58
220,A03B
221,A03BA
222,A03BA01
223,A03BA01
224,A03BA03
225,A03BA04
226,A03BB
227,A03BB01
228,A03BB01
229,A03BB01
230,A03BB02
231,A03BB03
232,A03BB03
233,A03BB04
234,A03BB05
235,A03BB06
236,A03C
237,A03CA
238,A03CA01
239,A03CA02
240,A03CA03
241,A03CA04
242,A03CA05
243,A03CA06
244,A03CA07
245,A03CA08
246,A03CA09
247,A03CA30
248,A03CA34
249,A03CB
250,A03CB01
251,A03CB02
252,A03CB03
253,A03CB04
254,A03CB31
255,A03CC
256,A03D
257,A03DA
258,A03DA01
