icd_index,CODE
1,A00-B99
2,A00-A09
3,A00
4,A000
5,A001
6,A009
7,A01
8,A0100
9,A0101
10,A0102
11,A0103
12,A0104
13,A0105
14,A0109
15,A011
16,A012
17,A013
18,A014
19,A02
20,A020
21,A021
22,A0220
23,A0221
24,A0222
25,A0223
26,A0224
27,A0225
28,A0229
29,A028
30,A029
31,A03
32,A030
33,A031
34,A032
35,A033
36,A038
37,A039
38,A04
39,A040
40,A041
41,A042
42,A043
43,A044
44,A045
45,A046
46,A047
47,A0471
48,A0472
49,A048
50,A049
51,A05
52,A050
53,A051
54,A052
55,A053
56,A054
57,A055
58,A058
59,A059
60,A060
61,A061
62,A062
63,A063
64,A064
65,A065
66,A066
67,A067
68,A0681
69,A0682
70,A0689
71,A069
72,A070
73,A071
74,A072
75,A073
76,A074
77,A078
78,A079
79,A080
80,A0811
81,A0819
82,A082
83,A0831
84,A0832
,A0839
85,A084
86,A088
87,A09
88,A15-A19
89,A15
90,A150
91,A154
92,A155
93,A156
94,A157
95,A158
96,A159
97,A170
98,A171
99,A1781
100,A1782
101,A1783
102,A1789
103,A179
104,A1801
105,A1802
106,A1803
107,A1809
108,A1810
109,A1811
110,A1812
111,A1813
112,A1814
113,A1815
114,A1816
115,A1817
116,A1818
117,A182
118,A1831
119,A1832
120,A1839
121,A184
122,A1850
123,A1851
124,A1852
125,A1853
126,A1854
127,A1859
128,A186
129,A187
130,A1881
131,A1882
132,A1883
133,A1884
134,A1885
135,A1889
136,A190
137,A191
138,A192
139,A198
140,A199
141,A200
142,A201
143,A202
144,A203
145,A207
146,A208
147,A209
148,A210
149,A211
150,A212
151,A213
152,A217
153,A218
154,A219
155,A220
156,A221
157,A222
158,A227
159,A228
160,A229
161,A230
162,A231
163,A232
164,A233
165,A238
166,A239
167,A240
168,A241
169,A242
170,A243
171,A249
172,A250
173,A251
174,A259
175,A260
176,A267
177,A268
178,A269
179,A270
180,A2781
181,A2789
182,A279
183,A280
184,A281
185,A282
186,A288
187,A289
188,A300
189,A301
190,A302
191,A303
192,A304
193,A305
194,A308
195,A309
196,A310
197,A311
198,A312
199,A318
200,A319
201,A320
202,A3211
203,A3212
204,A327
205,A3281
206,A3282
207,A3289
